Test,VI,Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,18586
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Load_Sweep_Parameters.vi,18602
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,30463
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,18581
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Load_Sweep_Parameters.vi,18588
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,30436
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18582
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18592
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,30621
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18591
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18586
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,30586
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,18576
NetworkStream\Test_NetworkStream_Throughput.vi,Load_Parameters.vi,18590
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,5266
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,18603
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Load_Parameters.vi,18597
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,5268
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18592
TCP\Test_TCP_Sweep_NumElements.vi,Load_Sweep_Parameters.vi,18592
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,30803
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18576
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Load_Sweep_Parameters.vi,18596
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,34681
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,18592
TCP\Test_TCP_Throughput.vi,Load_Parameters.vi,18597
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,5265
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,18583
TCP\Test_TCP_Throughput_SMP.vi,Load_Parameters.vi,18577
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,6156
