Test,VI,Connect Time (ms),Load Time (ms),Cross-Compiled VIs (VIs),Deploy&Start Time (ms),Deploy Time (ms),Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1403,32,7.000000,914,910,5
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,1391,81,23.000000,2318,2295,30294
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1376,10,7.000000,783,780,3
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,1368,34,15.000000,1338,1333,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1331,10,7.000000,770,767,4
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,1347,163,26.000000,2302,2270,30364
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1317,10,7.000000,796,791,3
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,1335,267,18.000000,1624,1599,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1356,11,7.000000,761,756,5
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,1410,42,23.000000,2056,2037,30445
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1361,10,7.000000,773,770,3
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,1362,21,15.000000,1354,1347,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1362,10,7.000000,764,759,4
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,1381,50,26.000000,2330,2298,30593
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1365,10,7.000000,785,780,5
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,1402,158,18.000000,1623,1602,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1346,10,7.000000,785,781,3
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,1320,41,21.000000,1860,1833,5170
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1335,10,7.000000,772,767,3
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,1357,21,15.000000,1315,1309,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1369,10,7.000000,1264,1259,3
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,1331,48,24.000000,2120,2084,5170
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1314,11,7.000000,782,777,3
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,1360,156,18.000000,1562,1542,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1338,10,7.000000,773,770,3
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,1315,53,24.000000,2111,2084,30564
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1348,10,7.000000,786,782,3
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,1374,28,16.000000,1419,1412,
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1395,10,7.000000,773,768,3
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,1331,169,27.000000,2347,2315,31438
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,876,10,7.000000,774,770,3
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,1361,272,19.000000,1643,1623,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1386,10,7.000000,782,777,3
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,1421,43,22.000000,1904,1877,5216
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1346,10,7.000000,772,768,11
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,1361,23,16.000000,1352,1345,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1390,10,7.000000,765,762,3
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,1376,50,25.000000,2148,2117,5224
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1346,11,7.000000,766,763,3
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,1350,159,19.000000,1598,1578,
