Test,VI,Connect Time (ms),Load Time (ms),Cross-Compiled VIs (VIs),Deploy&Start Time (ms),Deploy Time (ms),Execution Time (ms)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1671,19,7.000000,800,794,2
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,1631,54,23.000000,2184,2155,30436
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1616,11,7.000000,782,778,14
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,1585,17,15.000000,1397,1389,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1597,11,7.000000,793,788,14
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,1562,82,26.000000,2342,2310,30276
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1684,11,7.000000,890,886,19
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,1602,159,18.000000,1723,1696,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1636,10,7.000000,776,771,18
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,1630,38,23.000000,2159,2131,30521
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1739,10,7.000000,777,771,4
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,1690,17,15.000000,1479,1473,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1611,11,7.000000,785,781,20
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,1653,45,26.000000,2363,2330,30652
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1583,11,7.000000,778,774,18
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,1591,161,18.000000,1723,1699,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1732,10,7.000000,775,770,20
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,1552,34,21.000000,1989,1967,5181
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1566,11,7.000000,789,784,4
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,1736,17,15.000000,1318,1312,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1671,10,7.000000,802,797,18
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,1693,42,24.000000,2281,2247,5173
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1682,10,7.000000,790,785,18
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,1622,156,18.000000,1679,1653,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1707,11,7.000000,780,774,18
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,1678,43,24.000000,2173,2145,30537
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1662,10,7.000000,788,784,4
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,1604,19,16.000000,1418,1412,
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1602,10,7.000000,790,785,14
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,1564,48,27.000000,2406,2373,30523
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1622,10,7.000000,777,773,3
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,1585,158,19.000000,1736,1715,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1723,10,7.000000,785,781,14
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,1632,37,22.000000,1987,1960,5224
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1654,10,7.000000,789,785,4
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,1637,19,16.000000,1428,1422,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1699,10,7.000000,791,787,4
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,1693,45,25.000000,2161,2130,5210
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1657,11,7.000000,787,782,17
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,1733,162,19.000000,1669,1648,
