Test,VI,Avaliable Before Download (KB),Avaliable After Download (KB),Available Before Unload (KB),Available After Unload (KB),Download Usage (KB),Execution Usage (KB),Total Usage (KB)
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1772136.0000,1772144.0000,1772144.0000,1772144.0000,-8.000,0.000,-8.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Test_NetworkStream_Sweep_BufferSize.vi,1771952.0000,1771876.0000,1776980.0000,1776980.0000,76.000,-5104.000,-5028.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Get_Target_Memory_Info.vi,1777352.0000,1777320.0000,1777320.0000,1777320.0000,32.000,0.000,32.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize.vi,Pre_NetworkStream_Sweep_BufferSize.vi,1777036.0000,1777184.0000,,,-148.000,,
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1772100.0000,1772244.0000,1772244.0000,1772244.0000,-144.000,0.000,-144.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Test_NetworkStream_Sweep_BufferSize_SMP.vi,1771668.0000,1771640.0000,1771756.0000,1771756.0000,28.000,-116.000,-88.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Get_Target_Memory_Info.vi,1771976.0000,1771976.0000,1771976.0000,1771976.0000,0.000,0.000,0.000
NetworkStream\Test_NetworkStream_Sweep_BufferSize_SMP.vi,Pre_NetworkStream_Sweep_BufferSize_SMP.vi,1771500.0000,1771404.0000,,,96.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1768028.0000,1768068.0000,1768068.0000,1768068.0000,-40.000,0.000,-40.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Test_NetworkStream_Sweep_NumElements.vi,1767484.0000,1767632.0000,1767632.0000,1767632.0000,-148.000,0.000,-148.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1767632.0000,1767672.0000,1767672.0000,1767672.0000,-40.000,0.000,-40.000
NetworkStream\Test_NetworkStream_Sweep_NumElements.vi,Pre_NetworkStream_Sweep_NumElements.vi,1767464.0000,1767456.0000,,,8.000,,
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1767336.0000,1767364.0000,1767364.0000,1767364.0000,-28.000,0.000,-28.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Test_NetworkStream_Sweep_NumElements_SMP.vi,1767076.0000,1767128.0000,1766848.0000,1766848.0000,-52.000,280.000,228.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1766904.0000,1766884.0000,1766884.0000,1766884.0000,20.000,0.000,20.000
NetworkStream\Test_NetworkStream_Sweep_NumElements_SMP.vi,Pre_NetworkStream_Sweep_NumElements_SMP.vi,1767032.0000,1766372.0000,,,660.000,,
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1765172.0000,1765132.0000,1765132.0000,1765132.0000,40.000,0.000,40.000
NetworkStream\Test_NetworkStream_Throughput.vi,Test_NetworkStream_Throughput.vi,1765644.0000,1765572.0000,1765884.0000,1765884.0000,72.000,-312.000,-240.000
NetworkStream\Test_NetworkStream_Throughput.vi,Get_Target_Memory_Info.vi,1765520.0000,1765408.0000,1765408.0000,1765408.0000,112.000,0.000,112.000
NetworkStream\Test_NetworkStream_Throughput.vi,Pre_NetworkStream_Throughput.vi,1765004.0000,1764968.0000,,,36.000,,
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1765352.0000,1765248.0000,1765248.0000,1765248.0000,104.000,0.000,104.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Test_NetworkStream_Throughput_SMP.vi,1765264.0000,1765272.0000,1765308.0000,1765308.0000,-8.000,-36.000,-44.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1765356.0000,1765376.0000,1765376.0000,1765376.0000,-20.000,0.000,-20.000
NetworkStream\Test_NetworkStream_Throughput_SMP.vi,Pre_NetworkStream_Throughput_SMP.vi,1765244.0000,1765324.0000,,,-80.000,,
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1765368.0000,1765460.0000,1765460.0000,1765460.0000,-92.000,0.000,-92.000
TCP\Test_TCP_Sweep_NumElements.vi,Test_TCP_Sweep_NumElements.vi,1765556.0000,1764932.0000,1762616.0000,1762616.0000,624.000,2316.000,2940.000
TCP\Test_TCP_Sweep_NumElements.vi,Get_Target_Memory_Info.vi,1762632.0000,1762508.0000,1762508.0000,1762508.0000,124.000,0.000,124.000
TCP\Test_TCP_Sweep_NumElements.vi,Pre_TCP_Sweep_NumElements.vi,1762704.0000,1762092.0000,,,612.000,,
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1762296.0000,1762256.0000,1762256.0000,1762256.0000,40.000,0.000,40.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Test_TCP_Sweep_NumElements_SMP.vi,1762164.0000,1762236.0000,1757680.0000,1757680.0000,-72.000,4556.000,4484.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Get_Target_Memory_Info.vi,1758124.0000,1758192.0000,1758192.0000,1758192.0000,-68.000,0.000,-68.000
TCP\Test_TCP_Sweep_NumElements_SMP.vi,Pre_TCP_Sweep_NumElements_SMP.vi,1757692.0000,1757852.0000,,,-160.000,,
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1758096.0000,1758072.0000,1758072.0000,1758072.0000,24.000,0.000,24.000
TCP\Test_TCP_Throughput.vi,Test_TCP_Throughput.vi,1758060.0000,1757772.0000,1758212.0000,1758212.0000,288.000,-440.000,-152.000
TCP\Test_TCP_Throughput.vi,Get_Target_Memory_Info.vi,1757928.0000,1758032.0000,1758032.0000,1758032.0000,-104.000,0.000,-104.000
TCP\Test_TCP_Throughput.vi,Pre_TCP_Throughput.vi,1757908.0000,1758220.0000,,,-312.000,,
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1758392.0000,1758396.0000,1758396.0000,1758396.0000,-4.000,0.000,-4.000
TCP\Test_TCP_Throughput_SMP.vi,Test_TCP_Throughput_SMP.vi,1758124.0000,1757912.0000,1757480.0000,1757480.0000,212.000,432.000,644.000
TCP\Test_TCP_Throughput_SMP.vi,Get_Target_Memory_Info.vi,1757776.0000,1757848.0000,1757848.0000,1757848.0000,-72.000,0.000,-72.000
TCP\Test_TCP_Throughput_SMP.vi,Pre_TCP_Throughput_SMP.vi,1757664.0000,1757648.0000,,,16.000,,
